Case Number,Casecode,Opened,Closed,Charges,Disposition
23-216,APCON,9/15/2023,10/6/2023,PV,Plea
24-125,APCON,6/7/2024,1/13/2025,PV,Plea
23-227,APCON,9/26/2023,00/00/0000,PV,
23-228,APCON,10/5/2023,00/00/0000,PV,
23-230,APCON,10/3/2023,00/00/0000,PV,
23-248,APCON,10/10/2023,1/18/2024,PV,Plea
23-249,APCON,10/11/2023,00/00/0000,PV,
23-257,APCON,10/17/2023,7/1/2024,PV,Plea
23-258,APCON,10/17/2023,12/7/2023,PV,Plea
23-259,APCON,10/17/2023,3/21/2024,PV,Other
23-260,APCON,10/17/2023,3/21/2024,PV,Other
23-266,APCON,10/20/2023,10/30/2023,PV,Plea
23-272,APCON,10/27/2023,11/17/2023,PV,Other
23-281,APCON,11/17/2023,00/00/0000,PV,
24-131,APCON,6/20/2024,00/00/0000,PV,
23-308,APCON,12/15/2023,4/1/2024,PV,Plea
23-309,APCON,12/18/2023,12/18/2023,PV,Other
23-310,APCON,12/18/2023,12/18/2023,PV,Other
23-311,APCON,12/18/2023,12/18/2023,PV,Other
23-312,APCON,12/18/2023,12/18/2023,PV,Other
24-027,APCON,2/7/2024,3/21/2024,PV,Plea
24-028,APCON,2/23/2024,4/19/2024,PV,Dismissal
24-031,APCON,1/4/2024,1/4/2024,PV,Plea
24-032,APCON,1/4/2024,1/4/2024,PV,Plea
24-033,APCON,1/4/2024,1/4/2024,PV,Plea
24-034,APCON,1/4/2024,1/4/2024,PV,Plea
24-039,APCON,3/1/2024,00/00/0000,PV,
24-046,APCON,3/8/2024,4/5/2024,PV,Other
24-064,APCON,4/10/2024,3/3/2025,PV,Plea
24-084,APCON,5/9/2024,00/00/0000,PV,
24-086,APCON,5/9/2024,5/16/2024,PV,Plea
24-094,APCON,5/14/2024,8/12/2024,PV,Plea
24-111,APCON,5/24/2024,8/15/2024,PV,Plea
24-121,APCON,6/7/2024,8/22/2024,PV,Dismissal
24-124,APCON,6/7/2024,6/10/2024,PV,Other
24-132,APCON,6/18/2024,9/23/2024,PV,Plea
24-133,APCON,6/18/2024,9/23/2024,PV,Plea
24-137,APCON,6/21/2024,9/16/2024,PV,Plea
24-142,APCON,7/8/2024,8/29/2024,PV,Plea
24-144,APCON,7/2/2024,12/19/2024,PV,Plea
24-150,APCON,7/15/2024,00/00/0000,PV,
24-161,APCON,7/18/2024,2/3/2025,PV,Plea
24-180,APCON,7/31/2024,00/00/0000,PV,
24-187,APCON,8/12/2024,9/30/2024,PV,Plea
24-191,APCON,8/16/2024,00/00/0000,PV,
24-196,APCON,8/27/2024,10/2/2024,PV,Plea
24-197,APCON,8/28/2024,10/7/2024,PV,Plea
24-200,APCON,9/5/2024,10/14/2024,PV,Other
24-201,APCON,9/10/2024,3/3/2025,PV,Other
24-205,APCON,9/18/2024,1/16/2025,PV,Plea
24-209,APCON,9/30/2024,3/3/2025,PV,Plea
24-233,APCON,11/7/2024,2/1/2025,PV,Other
24-241,APCON,11/15/2024,12/5/2024,PV,Plea
24-247,APCON,12/2/2024,1/30/2025,PV,Plea
25-003,APCON,1/8/2025,2/27/2025,PV,Plea
25-008,CRI,1/7/2025,00/00/0000,PV,
25-025,APCON,2/4/2025,3/3/2025,PV,Plea
